Code,SampleDate,N,PMMoV,CaseCount,PopulationSize,Flow,OneVaxCount,FullVaxCount,CaseCount_Lag1,CaseCount_Lag2,CaseCount_Lead1,CaseCount_Lead2,N_Lag1,N_Lag2,PMMoV_Lag1,PMMoV_Lag2,Flow_Lag1,Flow_Lag2
AL,4/24/2022,0.686782935,6730555.262,0.000858902,20957,3.92,0.634203369,0.606575369,0.000954335,0.000620318,0.002338121,0.002099537,0.494869791,0.776682917,29571492.88,6070780.646,2.765,2.59
AL,5/1/2022,0.470231988,50571129302,0.002338121,20957,6.575,0.634966837,0.607338837,0.000858902,0.000954335,0.002099537,0.001288352,0.686782935,0.494869791,6730555.262,29571492.88,3.92,2.765
AL,5/8/2022,1.245393647,9750005.94,0.002099537,20957,4.25,0.635396288,0.607863721,0.002338121,0.000858902,0.001288352,0.001145202,0.470231988,0.686782935,50571129302,6730555.262,6.575,3.92
AL,5/15/2022,1.00472893,53167468.86,0.001288352,20957,3.55,0.635873455,0.608484039,0.002099537,0.002338121,0.001145202,0.001336069,1.245393647,0.470231988,9750005.94,50571129302,4.25,6.575
AL,5/22/2022,1.398611479,89823507.25,0.001145202,20957,3.545,0.636493773,0.609533807,0.001288352,0.002099537,0.001336069,0.001240636,1.00472893,1.245393647,53167468.86,9750005.94,3.55,4.25
AL,5/29/2022,0.748230121,101824959.5,0.001336069,20957,3.345,0.637114091,0.609915541,0.001145202,0.001288352,0.001240636,0.001431503,1.398611479,1.00472893,89823507.25,53167468.86,3.545,3.55
AL,6/5/2022,1.320411659,120386025,0.001240636,20957,3.39,0.637686692,0.610344992,0.001336069,0.001145202,0.001431503,0.000954335,0.748230121,1.398611479,101824959.5,89823507.25,3.345,3.545
AL,6/12/2022,0.40127456,16227635.93,0.001431503,20957,3.12,0.637972992,0.610631293,0.001240636,0.001336069,0.000954335,0.000763468,1.320411659,0.748230121,120386025,101824959.5,3.39,3.345
AL,6/19/2022,0.829404044,47575611.34,0.000954335,20957,3.47,0.638402443,0.610917593,0.001431503,0.001240636,0.000763468,0.001145202,0.40127456,1.320411659,16227635.93,120386025,3.12,3.39
AL,6/26/2022,0.688854723,25463073310,0.000763468,20957,3.005,0.638831894,0.611681061,0.000954335,0.001431503,0.001145202,0.000954335,0.829404044,0.40127456,47575611.34,16227635.93,3.47,3.12
AL,7/3/2022,0.997073498,57639533134,0.001145202,20957,3.59,0.639118194,0.611824211,0.000763468,0.000954335,0.000954335,0.001431503,0.688854723,0.829404044,25463073310,47575611.34,3.005,3.47
AL,7/10/2022,0.589487958,16930132513,0.000954335,20957,3.545,0.639929379,0.612110512,0.001145202,0.000763468,0.001431503,0.002194971,0.997073498,0.688854723,57639533134,25463073310,3.59,3.005
AL,7/17/2022,0.481976963,1.61E+11,0.001431503,20957,3.305,0.640931431,0.612396813,0.000954335,0.001145202,0.002194971,0.002194971,0.589487958,0.997073498,16930132513,57639533134,3.545,3.59
AL,7/24/2022,1.042227791,6949005254,0.002194971,20957,3.2,0.6419812,0.612778547,0.001431503,0.000954335,0.002194971,0.00162237,0.481976963,0.589487958,1.61E+11,16930132513,3.305,3.545
AL,7/31/2022,1.15971897,63388206604,0.002194971,20957,3.38,0.642840101,0.613255714,0.002194971,0.001431503,0.00162237,0.002194971,1.042227791,0.481976963,6949005254,1.61E+11,3.2,3.305
AL,8/7/2022,1.682209466,1.17E+11,0.00162237,20957,2.38,0.643412702,0.613732882,0.002194971,0.002194971,0.002194971,0.003149306,1.15971897,1.042227791,63388206604,6949005254,3.38,3.2
AL,8/14/2022,1.996357734,30223462168,0.002194971,20957,2.265,0.644128454,0.614066899,0.00162237,0.002194971,0.003149306,0.002385838,1.682209466,1.15971897,1.17E+11,63388206604,2.38,3.38
AL,8/21/2022,1.670080693,55441097472,0.003149306,20957,2.12,0.644891922,0.614448633,0.002194971,0.00162237,0.002385838,0.001192919,1.996357734,1.682209466,30223462168,1.17E+11,2.265,2.38
AL,8/28/2022,1.516469491,40577753490,0.002385838,20957,3,0.645225939,0.614734933,0.003149306,0.002194971,0.001192919,0.000477168,1.670080693,1.996357734,55441097472,30223462168,2.12,2.265
AL,9/4/2022,0.731511345,95512745240,0.001192919,20957,2.14,0.645464523,0.6149258,0.002385838,0.003149306,0.000477168,0.000811185,1.516469491,1.670080693,40577753490,55441097472,3,2.12
AL,9/11/2022,0.502525143,85103811698,0.000477168,20957,2.24,0.64579854,0.615212101,0.001192919,0.002385838,0.000811185,0.000715751,0.731511345,1.516469491,95512745240,40577753490,2.14,3
AL,9/18/2022,0.715449574,37011468825,0.000811185,20957,1.98,0.646180274,0.615641552,0.000477168,0.001192919,0.000715751,0.000715751,0.502525143,0.731511345,85103811698,95512745240,2.24,2.14
AL,9/25/2022,0.426225219,64727444684,0.000715751,20957,2.24,0.646562008,0.615832419,0.000811185,0.000477168,0.000715751,0.000811185,0.715449574,0.502525143,37011468825,85103811698,1.98,2.24
AL,10/2/2022,0.429069215,54262743356,0.000715751,20957,2.015,0.646848308,0.615927852,0.000715751,0.000811185,0.000811185,0.001336069,0.426225219,0.715449574,64727444684,37011468825,2.24,1.98
AL,10/9/2022,0.714897547,37838777110,0.000811185,20957,1.885,0.647277759,0.61654817,0.000715751,0.000715751,0.001336069,0.001717803,0.429069215,0.426225219,54262743356,64727444684,2.015,2.24
AX,4/24/2022,0.346392912,6057255.399,0.001245669,25689,2.632,0.619642649,0.5940675,0.00054498,0.001206742,0.001868504,0.003153101,0.471899835,0.322641552,3203623.444,3522572.546,4.01,4.028
AX,5/1/2022,0.37609922,389737457.3,0.001868504,25689,4.602,0.619992993,0.594807116,0.001245669,0.00054498,0.003153101,0.002724902,0.346392912,0.471899835,6057255.399,3203623.444,2.632,4.01
